language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.90  T=73.64 s (20.2 files/s, 7683.0 lines/s)"
C++,.\Engine\Math\Matrix\Matrix3.tpp,44,49,282
C++,.\Engine\Math\Matrix\Matrix4.tpp,34,19,282
XML,.\Engine\Dependencies\Mono\etc\mono\4.5\machine.config,18,11,281
C/C++ Header,.\Engine\ECS\component.h,161,228,280
XML,.\Engine\Dependencies\Mono\etc\mono\4.0\machine.config,18,11,278
C/C++ Header,.\Engine\Dependencies\FreeType\include\freetype\internal\ftserv.h,54,165,276
C/C++ Header,.\Engine\Dependencies\Mono\include\mono-2.0\mono\metadata\object.h,100,32,271
C++,.\Engine\EditorStateManager\EditorStates\testStateECS.cpp,55,43,266
Python,.\Engine\Dependencies\Mono\bina\mono-sgen-gdb.py,57,30,265
C++,.\Engine\Math\Vector\Vector4.tpp,44,16,264
C++,.\Engine\Dependencies\Vendor\glm\gtc\random.inl,41,0,262
C++,.\Engine\ECS\Systems\EnemyStateSystem.cpp,36,45,262
C++,.\Engine\Editor\UI Layer\UIFileDialog.cpp,20,56,260
C/C++ Header,.\Engine\Dependencies\FreeType\include\freetype\ftcolor.h,130,1222,257
C/C++ Header,.\Engine\Dependencies\FreeType\include\freetype\internal\sfnt.h,84,676,253
XML,.\Engine\Dependencies\Mono\etc\mono\2.0\machine.config,17,11,252
C++,.\Engine\Dependencies\Vendor\glm\ext\scalar_ulp.inl,27,7,250
C/C++ Header,.\Engine\Dependencies\FreeType\include\freetype\internal\ftcalc.h,119,141,249
XML,.\Engine\Engine.vcxproj.filters,0,0,249
C/C++ Header,.\Engine\Dependencies\rapidjson\internal\itoa.h,50,16,242
Python,.\Engine\Dependencies\Mono\bin\mono-heapviz,45,5,233
Python,.\Engine\Dependencies\Mono\bina\mono-heapviz,45,5,233
C++,.\Engine\Editor\UI Layer\UiLayer.cpp,57,63,232
C/C++ Header,.\Engine\Dependencies\Vendor\glm\gtx\type_aligned.hpp,283,468,231
C/C++ Header,.\Engine\Dependencies\rapidjson\internal\biginteger.h,45,17,228
C/C++ Header,.\Engine\Dependencies\FreeType\include\freetype\internal\ftmemory.h,104,68,227
C/C++ Header,.\Engine\Dependencies\FreeType\include\freetype\t1tables.h,107,439,227
C/C++ Header,.\Engine\Dependencies\Vendor\glm\ext.hpp,23,3,227
C/C++ Header,.\Engine\Dependencies\FreeType\include\freetype\internal\cfftypes.h,95,98,223
XML,.\Engine\Dependencies\Mono\lib\mono\xbuild\Microsoft\Microsoft.NET.Build.Extensions\Microsoft.NET.DefaultPackageConflictOverrides.targets,3,9,222
C/C++ Header,.\Engine\Dependencies\rapidjson\msinttypes\inttypes.h,46,49,221
XML,.\Engine\Dependencies\Mono\lib\mono\fsharp\Microsoft.DotNet.DependencyManager.xml,1,0,220
C++,.\Engine\ECS\ECS.tpp,38,81,215
C/C++ Header,.\Engine\Dependencies\Mono\include\mono-2.0\mono\metadata\class.h,94,7,212
C++,.\Engine\Math\Vector\Vector3.tpp,39,16,212
C/C++ Header,.\Engine\Dependencies\rapidjson\internal\strtod.h,48,32,210
HTML,.\Engine\Dependencies\GLEW\doc\basic.html,41,32,209
C/C++ Header,.\Engine\Dependencies\rapidjson\internal\diyfp.h,28,20,209
C/C++ Header,.\Engine\Dependencies\FreeType\include\freetype\ftimage.h,126,942,208
C++,.\Engine\Dependencies\Vendor\glm\ext\scalar_integer.inl,35,0,208
XML,.\Engine\Dependencies\Mono\etc\mono\4.0\web.config,7,45,201
XML,.\Engine\Dependencies\Mono\etc\mono\4.5\web.config,7,46,200
C++,.\Engine\Dependencies\Vendor\glm\detail\glm.cpp,48,17,198
C++,.\Engine\InputMgr\InputMgr.cpp,49,151,198
C/C++ Header,.\Engine\Dependencies\Gizmo\ImZoomSlider.h,21,27,197
C/C++ Header,.\Engine\Dependencies\Vendor\glm\simd\common.h,32,11,197
C/C++ Header,.\Engine\Dependencies\Vendor\glm\detail\qualifier.hpp,33,1,196
C/C++ Header,.\Engine\Dependencies\FreeType\include\freetype\tttables.h,80,580,195
C++,.\Engine\Dependencies\Vendor\glm\detail\func_common_simd.inl,22,14,195
C/C++ Header,.\Engine\Dependencies\rapidjson\internal\dtoa.h,20,31,195
C/C++ Header,.\Engine\Dependencies\Vendor\glm\detail\type_vec1.hpp,67,47,194
